epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1789.93,1.28497,1.9009,1.27664,0.45094,0.46357,0.47763,0.32224,1.56064,2.49617,1.53094,1.09e-05,1.09e-05,1.09e-05
92,1812.33,1.2882,1.742,1.23502,0.46416,0.46212,0.47577,0.32249,1.55732,2.4796,1.53561,9.91e-06,9.91e-06,9.91e-06
93,1830.2,1.30736,1.70859,1.22641,0.48703,0.4674,0.47943,0.32308,1.5567,2.46126,1.53453,8.92e-06,8.92e-06,8.92e-06
94,1848.91,1.30676,1.7722,1.27869,0.4782,0.46688,0.47936,0.3232,1.56237,2.46365,1.54062,7.93e-06,7.93e-06,7.93e-06
95,1875.34,1.31297,1.7682,1.26688,0.46526,0.47381,0.47995,0.32705,1.55396,2.46812,1.53441,6.94e-06,6.94e-06,6.94e-06
96,1892.32,1.32249,1.77645,1.2845,0.44927,0.47768,0.4798,0.3257,1.55882,2.46456,1.53443,5.95e-06,5.95e-06,5.95e-06
97,1911.32,1.31928,1.75727,1.27543,0.46825,0.47791,0.48229,0.32521,1.55301,2.46703,1.52989,4.96e-06,4.96e-06,4.96e-06
98,1940.97,1.35338,1.61081,1.22801,0.47766,0.48312,0.48579,0.32793,1.55075,2.46179,1.53044,3.97e-06,3.97e-06,3.97e-06
99,1962.23,1.25534,2.00705,1.26717,0.47667,0.48032,0.48545,0.3279,1.55752,2.45522,1.53654,2.98e-06,2.98e-06,2.98e-06
100,1980.05,1.24685,1.87498,1.29918,0.45662,0.48762,0.48342,0.32611,1.55537,2.45742,1.53305,1.99e-06,1.99e-06,1.99e-06
